City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
613,Freeport,US,80.26,40.6576,-73.5832,The Freeport Inn and Marina
615,Shihezi,CN,87.44,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
616,Bela,IN,89.98,25.9333,81.9833,Raj Bhawan
618,Guilin,CN,81.95,25.2819,110.2864,Grand 0773 Hotel
619,Qingdao,CN,76.71,36.0986,120.3719,Le Meridien Qingdao
622,Madang,PG,78.44,-5.2246,145.7966,Comfort Inn Hotel
624,Beibei,CN,87.93,29.8256,106.4339,FX Hotel Chongqing at Beibei Southwest University
625,Keta,GH,78.53,5.9179,0.9879,A&Y Wild Camp Ghana
627,Pereslavl-Zalesskiy,RU,79.7,56.7393,38.8563,Motel Navigator
628,Dhenkanal,IN,81.81,20.6667,85.6,Sai Residency
630,Lucea,JM,85.86,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
636,Sao Jose Da Coroa Grande,BR,77.4,-8.8978,-35.1478,Crôa Mares Hotel
640,Nha Trang,VN,82.4,12.25,109.1833,Hanoi Golden Hotel
646,Barcelos,PT,84.92,41.5388,-8.6151,Hotel Restaurante Bagoeira
647,Manthani,IN,77.36,18.65,79.6667,"Sri Sai bike Paint,manthani"
653,Pedasi,PA,80.08,7.5333,-80.0333,Hotel Casa de Campo Pedasí
655,Mumford,GH,77.02,5.2618,-0.759,Spanish Villa
656,Sao Gabriel Da Cachoeira,BR,81.52,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
659,Pemangkat,ID,79.54,1.1667,108.9667,Ramah Kost KITA
661,Kaita,JP,83.75,34.3667,132.55,Kaita Central Hotel
669,Pemba,MZ,77.7,-12.974,40.5178,Guesthouse Samotina
674,Madison Heights,US,76.14,42.4859,-83.1052,Red Roof Inn Detroit - Warren
675,Miedzyrzecz,PL,77.07,52.4446,15.578,Motel & Bistro S3
680,Ahmadpur,IN,75.69,18.7,76.9333,Satish suryawanshi niwas
