City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Santa Marta,CO,2022-07-26 13:48:11,11.2408,-74.199,80.65,89,75,9.22
121,Castro,BR,2022-07-26 13:53:00,-24.7911,-50.0119,69.28,53,0,4.18
122,Roald,NO,2022-07-26 13:53:01,62.5833,6.1333,60.17,94,75,11.5
123,Cayenne,GF,2022-07-26 13:53:01,4.9333,-52.3333,87.84,18,20,4.61
124,Stratford-Upon-Avon,GB,2022-07-26 13:51:08,52.1917,-1.7073,69.57,61,97,3.87
125,Dalbandin,PK,2022-07-26 13:53:02,28.8947,64.4101,91.81,44,78,12.26
126,Luderitz,NA,2022-07-26 13:53:02,-26.6481,15.1594,57.94,69,31,11.7
127,Pag,HR,2022-07-26 13:53:02,44.445,15.0575,95.58,59,6,4.61
128,Dogondoutchi,NE,2022-07-26 13:53:03,13.6393,4.0287,95.11,41,100,16.13
129,Gamba,GA,2022-07-26 13:53:03,-2.65,10.0,77.61,65,93,10.18
130,Norman Wells,CA,2022-07-26 13:48:43,65.282,-126.8329,53.64,82,75,3.44
131,Cam Ranh,VN,2022-07-26 13:53:04,11.9214,109.1591,82.36,78,20,1.14
132,Linxia,CN,2022-07-26 13:53:04,35.6003,103.2064,63.77,78,32,1.45
133,Ahipara,NZ,2022-07-26 13:53:05,-35.1667,173.1667,55.74,80,99,18.79
134,Clyde River,CA,2022-07-26 13:53:05,70.4692,-68.5914,43.03,87,20,10.36
135,Pratapgarh,IN,2022-07-26 13:53:05,24.0333,74.7833,72.54,94,98,10.07
136,Melfi,IT,2022-07-26 13:54:06,40.9965,15.6514,93.49,23,52,6.15
137,Calbuco,CL,2022-07-26 13:54:06,-41.768,-73.1273,49.21,81,100,9.8
138,Katsuura,JP,2022-07-26 13:54:07,35.1333,140.3,79.52,93,99,14.32
139,Yellowknife,CA,2022-07-26 13:54:07,62.456,-114.3525,55.92,82,20,5.75
140,Provideniya,RU,2022-07-26 13:54:08,64.3833,-173.3,41.11,79,98,6.64
141,Alenquer,BR,2022-07-26 13:54:08,-1.9417,-54.7383,85.44,63,52,3.53
142,Khandyga,RU,2022-07-26 13:54:08,62.6667,135.6,62.89,76,17,3.24
143,Paciran,ID,2022-07-26 13:54:09,-6.8767,112.3761,78.44,74,94,4.61
144,San Quintin,MX,2022-07-26 13:54:09,30.4833,-115.95,66.25,85,68,5.86
145,Zarichne,UA,2022-07-26 13:54:10,51.8126,26.129,81.45,34,4,5.21
146,Coihaique,CL,2022-07-26 13:49:19,-45.5752,-72.0662,31.95,74,100,5.75
147,Tessalit,ML,2022-07-26 13:54:10,20.1986,1.0114,106.16,5,3,5.93
148,Viedma,AR,2022-07-26 13:54:11,-40.8135,-62.9967,49.26,97,100,9.19
149,Kilindoni,TZ,2022-07-26 13:54:11,-7.9139,39.6668,76.08,75,90,18.88
